strain	Date of isolation	Ampicillin	Amoxicillin-Claulanacid	Piperacillin-Tazobactam	Ampicillin-Sulbactam	Cefazolin	Cefuroxim-Axetil	Ceftriaxon	Ceftazidim	Cefpodoxim	Cefepim	Ertapenem	Imipenem	Meropenem	Aztreonam	Ceftarolin	Ceftazidim-Avibactam	Ceftobiprol	Ceftolozan-Tazobactam	Tetracyclin	Tobramycin	Amikacin	Gentamicin	Cotrimoxazol	Nitrofurantoin	Norfloxacin	Ciprofloxacin	Levofloxacin	Colistin	Fosfomycin-Trometamol	Tigecyclin	Rifampicin	Minocyclin	Doxycyclin
carb001	11/15/2010												8	4																				
carb002	12/1/2010	32	32	128			64		64	8	64		4							16			4	320	256	16	4			256				
carb003	1/26/2011	32	32	128			64		64	8	1		8							16			4	320	16	16	4		0.125	16				
carb004	3/22/2011	32	32	128			64	64	16	8	2	8	16	16							16	2		320						16				
carb005	3/28/2011	32	32	128			64		64	8	8	0.5	0.25	0.06						16			16	320	16	16	4		0.5	256				
carb006	3/28/2011	32	32	128			64		4	8	2	2	2	16							16	64		320			4		0.5	16	2			64
carb007	10/6/2011	32	32	128			64	64	64		64	8	16	16							1	2		320			0.25		0.125	4	0.25			
carb008	11/14/2011	32	32	128			64	1	1		32	0.5	1	0.25							2	2		20			0.5		0.5					
carb009	11/14/2011	32	32	128			32	1	1	4	32	5	1	0.25							8	2		320	64		4		0.5	16				
carb010	12/5/2011	32	32	128			64	64	64		16	8	4	4							16	64		320			4		16					
carb011	8/14/2010	16	16	128			16	32			32			16																				
carb012	2/2/2012	32	8	2			64	0.25			0.125	0.5	0.25	0.25							1	4		320	64		0.25		0.5	16				
carb013	3/5/2012	32	32	128			64	64	4		4	1	1.5	0.75	16						16	64		20			4		0.5					
carb014	3/16/2012	32	32	256			64	64	64		64	32	32	32	24						16	6		20			4		0.5		0.38			
carb015	4/11/2012	32	16	256			64	64	64		64	16	0.5	1							16	2		20			4		0.5					
carb016	4/12/2012	32	32	128			64	64	64		16	8	1.5	4							16	2		20			2		0.5					
carb017	6/30/2012											32	24	32	256																			
carb018	1/24/2013	32	32	128				64	64		64	8	2	16							16	16		320			4		0.5					
carb019	5/31/2013	32	32	128				1	1		1	32	1.5	0.38							1	2		20			0.25		0.5					
carb020	6/10/2013											4	0.5	0.38																				
carb021	9/13/2013																																	
carb022	3/3/2014																																	
carb023	5/7/2014																														2			
carb024	5/14/2014		24	256			256	256	256			32	32	32							8	24	1											
carb025	6/2/2014	≥32	≥32	≥128				≥64	≥64		32										≥16	16		≤20			1		0.5					
carb026	8/4/2014	32	32	128				64	64	8	64	8	16	16							16	64		320			4		32	0.5				
carb027	9/10/2015																																	
carb028	10/20/2015	32	32	128				64	64		64	8	1	2							16	4		320			1		0.5					
carb029	11/4/2015											4	3	4																				
carb030	12/3/2015	≥32	≥32	128				32	1		2	4	2	1							4	2		320			1		0.5					
carb031	1/9/2016			128					256		256		16	32	24						4	64					16		2	4				
carb032	7/22/2016	≥32	≥32	128				64	4		1	0.75	4	0.75							1	2		320			1		0.5					
carb033	8/18/2016	≥32	≥32					≤1	≤1		2	≤0.5	≤0.25	≤0.25							≤1	≤2		320			≥4		0.5					
carb034	9/11/2016			128	8			64	64		64		16	32				32			16	64		320			≥4	0.19	0.5		4			
carb035	9/23/2016	32	32	256				1	1		1	8	16	16							1	2		320			4		0.5					
carb036	10/5/2016																																	
carb037	10/5/2016																																	
carb038	10/13/2016																256		256															
carb039	11/26/2016	32	32	256	256				256			32	32	32			256				16	16		20			1		0.5			32	4	
carb040	12/5/2016													0.38							6		1											
carb041	12/11/2016	32	32	128				64	64		64	8	16	16							1	2		20			4		0.5					
carb042	12/11/2016	32	32	128				64	64		64	8	12	16							16	64		320			4		4					
carb043	12/11/2016	32	32	128				64	64		64	8	16	16							16	8		320			4		0.5					
carb044	3/27/2017												8	12															0.75					
carb045	5/10/2017	32	32	128				64	64	8	64	4	2	2							16	4		320	64		4		5	16				
carb046	8/3/2017	32	32	128				16	16	8	1	4	0.5	1							1	2		20			1		0.5	16				
carb047	8/21/2017																																	
carb048	9/20/2017																																	
carb049	2/17/2017	32	32					1	2		2		2	0.5	0.75						1	4		20			0.25		0.5		0.125			
carb050	8/30/2017	32	32					1	1.5	8	2	5	5	0.25							1	16		40	32		4		0.5	16				
carb051	8/14/2017	32	32	8				8	64	8	16	0.5	0.25	0.25							16	2		320	16		4		0.5	16				
carb052	nicht vorhanden																																	
carb053	9/19/2016	32	32	128				8	16		64	8	8	8							1	2		80			0.5		0.5					
carb054	1/17/2017																																	
carb055	2/17/2017			16					3		12		32	16	6		3	32	2		16	64					4		0.5					
carb056	nicht vorhanden																																	
carb057	9/1/2015			32					16				32	32	32						1.5	4					0.75		3	24				
carb058	4/11/2017			32					16		16		16	16							1	16					1		0.5					
carb059	4/5/2017			256					256		8		32	32	256	32	4	32	2		48	256		0.032			4	32	0.75	1024				
carb060	4/5/2017			256					256		8		32	32	256	32	4	32	2		48	256		0.032			4	32	0.75	1024				
